is_scraping,car_model_designation_no,classification_no,car_name,car_model_name,youshiki,vin_start,vin_end,model_from,model_to,catalog_name,parts_code
False,09221,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,37400 46510 48110 83410 83440 84531 84536 84571 84701 84701 84702 84702 84901 85105 85180 86401 86401 87101 87180 87301 87302 87305 87306 87307 87308 87380
False,09221,0016,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,13110 13400 14190 33920 34100 34100 34120 34120 48110 48150 71711 71811 84901 85101 85107 85301 85301 86401 87101 87107 87301 87302 87307 87308
False,09221,0040,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27101 33920 34100 34100 34120
False,10385,0108,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85180 86401 87101 87180 87380
False,10385,0124,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27450 29331 33940 35500 38860 38885 41600 41700 43200 43200 43420 43810 44101 44102 46510 46510 56100 74400 84701 84702 84704 85101 85107 85301 85301 86401 87101 87107 87301 87302 87307 87308 　
False,10385,0208,660 ワゴン,JB23W,JB23W,100001,310000,199809,200112,JB23W,34100 34101 34120 39101 39101 43200 56100 84701 84701 84701 84701 84702 84702 84702 84702 84704 84704 84704 85101 85101 85107 85301 85301 85301 85301 86401 86401 87101 87101 87107 87301 87301 87302 87302 87307 87308
False,10385,0208,660 ワゴン,JB23W,JB23W,310001,400000,200112,200409,JB23W-4,13110 13400 13900 14111 14190 15100 15100 18213 27101 31400 33921 34101 34120 35501 35502 36250 36740 37190 37400 37430 39101 39101 43200 43200 48110 48110 48110 48150 48150 58300 72111 72112 72112 72112 72112 74400 84511 84531 84536 84571 84571 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84703 84901 85101 85101 85101 85101 85107 85107 85107 85180 85301 85301 85301 85301 85301 85301 86401 86401 86401 86401 86401 87101 87101 87101 87107 87107 87107 87301 87301 87301 87302 87302 87302 87307 87307 87307 87308 87308 87308 89101 95400
False,10385,0224,660 ワゴン,JB23W,JB23W,100001,310000,199809,200112,JB23W,39101 84701 84702 84704 85101 85301 85301 86401 87101 87301 87302
False,10385,0224,660 ワゴン,JB23W,JB23W,310001,400000,200112,200409,JB23W-4,39101 39101 39101 39101 39101 48110 72112 72112 84701 84701 84701 84701 84702 84702 84702 84702 84704 84704 85101 85101 85101 85101 85101 85101 85101 85107 85107 85107 85107 85107 85107 85301 85301 85301 85301 85301 85301 85301 86401 86401 86401 86401 86401 86401 86401 87101 87101 87101 87107 87107 87107 87301 87301 87301 87301 87302 87302 87302 87302 87307 87307 87307 87307 87308 87308 87308 87308
False,10385,0240,660 ワゴン,JB23W,JB23W,100001,310000,199809,200112,JB23W,34100 34101 34120
False,10385,0240,660 ワゴン,JB23W,JB23W,310001,400000,200112,200409,JB23W-4,20002 20002 33921 33921 34101 34120 38880
False,10385,0704,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,13110 13400 13900 14111 14190 14250 14260 14300 15100 15110 17700 17700 18213 18213 24700 27101 27102 27103 27450 31100 31100 31100 31400 33400 33920 34100 34120 35120 35320 35650 35670 36250 36740 37190 37190 37190 37400 37990 38700 38720 38860 38860 39101 41600 41700 43210 43252 43420 45111 45151 45200 46200 46200 46510 48110 48150 48600 55100 55100 55211 58300 58611 58811 65950 68001 68002 69100 71711 71721 71811 72111 72112 74100 74120 74150 74400 83401 83402 83410 83420 83430 83460 84511 84531 84536 84571 84701 84702 84703 84704 84901 85101 85107 85301 85301 86401 87101 87107 87301 87302 87307 87308 89101 95200 95311 95400 95410
False,10385,0736,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,17700 17700 20002 20002 20002 20002 24710 24710 27101 33920 34100 34120 38880 38880
False,10385,0804,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,37400 37430
False,10385,0836,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27101
False,10534,0024,1300 シェラ3,JB43W,JB43W,110001,200000,200201,200409,JB43W-3,14300 18213 24700 35501 35502 36740 39101 48110 48150 72111 85101 85107 85301 86401 86401 87101 87107 87301 87302 87307 87308 95400
False,10534,0024,1300 ワイド2,JB43W,JB43W,100001,110000,200004,200212,JB43W-2,13110 13110 13400 14110 14140 14190 14300 15100 18213 18213 24700 27101 27450 31100 31400 33410 33920 33921 34100 34120 35120 35320 35650 35670 36740 38880 38885 39101 43200 44101 44102 46510 48110 48150 48600 58300 71711 71717 71811 83900 85101 85301 86401 87101 87301 87302 95311 95400 　 　
False,10534,0096,1300 ワイド2,JB43W,JB43W,100001,110000,200004,200212,JB43W-2,20002 20002 34101 34120
False,11405,0005,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,13110 13400 13400 14111 14111 14120 14120 14130 14190 14190 14300 14300 15100 15110 17700 18213 18213 24700 27102 31100 31100 31400 31400 31400 33400 33920 33920 34100 34100 35120 35320 35603 35604 37400 37400 38885 39101 41601 41602 41700 43210 43210 43252 45110 45150 45201 45202 45910 46510 46510 48500 55101 55102 55311 68001 68002 71713 74150 74430 74430 84701 84702 84703 84920 84920 85180 86401 89101 89101 95200 95400 　 　
False,11405,0005,LE-DA63T,DA63T,DA63T,380001,410000,200508,200511,DA63T-6,13400 15100 15110 17700 18213 31400 33400 33920 34100 39101 55311 74150 86401 95200
False,11405,0006,LE-DA63T,DA63T,DA63T,380001,410000,200508,200511,DA63T-6,34100
False,11405,0021,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,17700 20002 20002 24710 27102 31100 31100 31100 31400 33920 33920 34100 34100
False,11405,0021,LE-DA63T,DA63T,DA63T,380001,410000,200508,200511,DA63T-6,17700 20002 20002 33920 34100
False,11405,0022,LE-DA63T,DA63T,DA63T,380001,410000,200508,200511,DA63T-6,34100
False,11405,0605,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,27101 27102 27450 29331 33920 33920 38885 43420 44101 44102 45111 45151 45910
False,11405,0606,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,84510
False,11405,0606,LE-DA63T,DA63T,DA63T,380001,410000,200508,200511,DA63T-6,27101
False,11405,0613,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,20002 20002 27101 33920 33920 38885
False,11405,0613,LE-DA63T,DA63T,DA63T,380001,410000,200508,200511,DA63T-6,20002 20002 27101 27450 44101 44102 45910
False,12633,0009,M13A:2WD,ZC11S,ZC11S,400001,550000,200704,no_data,ZC11S-3,13110 13400 14110 14190 14220 18213 18213 33920 34100 34100 34100 39510 44101 44102 44111 56110 71721 95200
False,12633,0009,M13A:2WD,ZC11S,ZC11S,550001,no_data,200902,no_data,ZC11S-4,13400 14110 33920 34100 37310 43210 45810 48110 55311 69100 74100 74120 83430 83460 84541 84546 84570 84701 84702 84901 85105 85180 85180 86401 86401 87101 87101 87380 87380 89101
False,12634,0605,M13A:2WD,ZC11S,ZC11S,400001,550000,200704,no_data,ZC11S-3,14190 14250 14260 14300 15100 27101 27102 27400 41601 41602 41800 43421 44101 44105 44106 45111 45151 45810 46111 46510 56110 74100 84510 84701 84701 84701 84701 84701 84701 84701 84701 84701 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84702 84702 84702 84702 84702 84702 84702 84730 84740 89101
False,12634,0605,M13A:2WD,ZC11S,ZC11S,550001,no_data,200902,no_data,ZC11S-4,45810 74100 84701 84702 89101
False,12634,0606,M13A:2WD,ZC11S,ZC11S,400001,550000,200704,no_data,ZC11S-3,13400 17700 20002 20002 24710 33920 34100 34100 34100 38880 44102 44111
False,12634,0606,M13A:2WD,ZC11S,ZC11S,550001,no_data,200902,no_data,ZC11S-4,13400 20002 20002 33920 34100 48110 87380
False,12635,0003,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,14190 14220 20002 20002 33920 38880 44101 44102 44111
False,12636,0603,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,20002 20002 38880
False,12717,0002,660 ワゴン,JB23W,JB23W,400001,500000,200410,200510,JB23W-5,13110 13400 13900 13900 14190 14300 18213 33920 34100 38720 38885 43210 43810 55211 72111 74400 84571 84720 84760 85101 85180 85301 86401 87101 87180 87301 87302 87380 89101 95311
False,12717,0002,660 ワゴン,JB23W,JB23W,500001,999999,200510,no_data,JB23W-6,13110 13900 33920 36250 38885 58611 58811 71721 71811 72111 84701 84701 84701 84702 84702 84702 84901 85301 85301 86401 87101 87180 87301 87302 87380 89101
False,12717,0002,660 ワゴン,JB23W,JB23W,600001,no_data,200805,no_data,JB23W-7,13400 13900 14190 14250 14300 15100 15110 17700 18213 33910 34100 38885 43210 58300 71811 84701 84701 84701 84702 84702 84702 84704 84901 85101 85180 85180 85301 85301 85301 85301 86401 86401 87101 87180 87180 87301 87301 87302 87302 87380 87380 95200
False,12717,0004,660 ワゴン,JB23W,JB23W,400001,500000,200410,200510,JB23W-5,35500 39101 39101 43200 84701 84701 84702 84702 84720 84760 85101 85180 85301 85301 86401 86401 86401 87101 87180 87301 87301 87302 87302 87380 87380
False,12717,0004,660 ワゴン,JB23W,JB23W,500001,999999,200510,no_data,JB23W-6,39101 39101 43200 43200 72111 84701 84701 84701 84701 84701 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84702 84702 84702 84702 84702 84704 84704 84704 85101 85101 85101 85101 85101 85180 85180 85180 85180 85180 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 85301 86401 86401 86401 86401 86401 86401 86401 86401 86401 86401 87101 87101 87101 87101 87101 87101 87180 87180 87180 87180 87180 87180 87301 87301 87301 87301 87301 87301 87301 87302 87302 87302 87302 87302 87302 87302 87380 87380 87380 87380 87380 87380 87380
False,12717,0004,660 ワゴン,JB23W,JB23W,600001,no_data,200805,no_data,JB23W-7,43200 48110 84701 84701 84701 84701 84702 84702 84702 84702 84704 85101 85101 85180 85180 85301 85301 85301 85301 86401 86401 86401 86401 87101 87101 87180 87180 87301 87301 87302 87302 87380 87380 87380
False,12717,0006,660 ワゴン,JB23W,JB23W,400001,500000,200410,200510,JB23W-5,20002 20002 33920 34100 38880
False,12717,0006,660 ワゴン,JB23W,JB23W,500001,999999,200510,no_data,JB23W-6,33920
False,12717,0006,660 ワゴン,JB23W,JB23W,600001,no_data,200805,no_data,JB23W-7,17700 20002 20002 34100 38880
False,12717,0008,660 ワゴン,JB23W,JB23W,500001,999999,200510,no_data,JB23W-6,84701
False,12717,0010,660 ワゴン,JB23W,JB23W,650001,999999,201008,no_data,JB23W-8,13110 13900 13900 14190 14250 56100 58300 85101 85301 87301 87301 87302 87302 87380 87380 95311
False,12717,0010,660 ワゴン,JB23W,JB23W,680001,no_data,201204,no_data,JB23W-9,14300 27101 37400 38885 41600 43210 55211 58300 58611 58811 69100 72111 72112 84701 84701 84701 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84702 84702 84702 84704 84704 84704 84704 84704 84704 84910 84910 84920 85101 85101 85180 85180 85301 85301 85301 86401 86401 86401 87101 87101 87180 87180 87301 87301 87302 87302 87380 87380
False,12717,0010,660 ワゴン,JB23W,JB23W,730001,no_data,201407,no_data,JB23W-A,13900 18213 31100 33910 34100 34101 35120 35320 37480 43210 48110 48150 56110 69100 72112 74100 74150 74400 84511 84531 84531 84536 84536 84571 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84704 84704 84704 84910 85101 85101 85101 85101 85180 85180 85301 85301 85301 85301 85301 86401 86401 86401 87101 87101 87180 87180 87301 87301 87302 87302 87380 87380 95200
False,12717,0012,660 ワゴン,JB23W,JB23W,650001,999999,201008,no_data,JB23W-8,87301 87302 87380
False,12717,0012,660 ワゴン,JB23W,JB23W,680001,no_data,201204,no_data,JB23W-9,84701 84701 84701 84702 84702 84702 84704 84704 86401 87301 87302 87380
False,12717,0012,660 ワゴン,JB23W,JB23W,730001,no_data,201407,no_data,JB23W-A,86401 87301 87302 87380
False,12717,0014,660 ワゴン,JB23W,JB23W,650001,999999,201008,no_data,JB23W-8,20002 20002
False,12717,0014,660 ワゴン,JB23W,JB23W,730001,no_data,201407,no_data,JB23W-A,34100 34100
False,12719,0004,1300 シェラ4,JB43W,JB43W,200001,300000,200410,200510,JB43W-4,14190 18213 34100 35500 43200 58300 83900 85101 85301 85301 87301 87302 87380
False,12719,0004,1300 シェラ5,JB43W,JB43W,300001,999999,200510,no_data,JB43W-5,14110 85301 85301 85301 86401 87301 87301 87301 87302 87302 87302 87380 87380 87380
False,12719,0008,1300 シェラ4,JB43W,JB43W,200001,300000,200410,200510,JB43W-4,20002 20002 34100
False,12719,0010,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,13110 13400 14110 14120 14140 14190 14260 14300 15100 17700 18213 27101 27102 27103 27450 27450 31100 31400 33400 33920 34100 35120 35320 35500 35650 35670 36255 37190 37400 37430 37990 38885 43210 43252 43420 43810 44101 44102 46510 48110 48150 48600 49100 55100 55211 56100 58300 58611 58811 65950 68001 68002 71711 71713 71717 71718 71811 72111 74100 74140 74400 83401 83430 83900 84510 84531 84536 84571 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84703 84704 84704 84704 84704 84704 84901 85101 85180 85301 85301 86401 86401 87101 87180 87301 87302 87380 89101 95200 95311 95400
False,12719,0012,1300 シェラ5,JB43W,JB43W,300001,999999,200510,no_data,JB43W-5,85301 85301 85301 85301 87301 87301 87302 87302 87380 87380
False,12719,0012,1300 シェラ6,JB43W,JB43W,400001,no_data,200805,no_data,JB43W-6,85301 85301 85301 85301 85301 85301 87301 87301 87301 87302 87302 87302 87380 87380 87380
False,12719,0014,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,17700 20002 20002 34100 38880
False,12719,0020,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,13110 14110 14120 14190 14260 14300 18213 18213 27101 33400 33921 35500 43200 43200 45200 46200 48110 65950 71711 71718 84701 84701 84701 84702 84702 84702 84704 84704 84704 85101 85180 85301 85301 86401 86401 87101 87180 87301 87302 87380 89101 95311 95400
False,12719,0022,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,48110 87101 87180 87301 87302 87380
False,12719,0028,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,20002 20002 33921 34101 38880
False,12719,0034,1300 シェラ9,JB43W,JB43W,580001,no_data,201407,no_data,JB43W-9,34102 43210
False,12719,0036,1300 シェラ8,JB43W,JB43W,560001,no_data,201204,no_data,JB43W-8,14120 14190 38885 58611 58811 71711 71718 85101 85301 85301 95311
False,12719,0036,1300 シェラ9,JB43W,JB43W,580001,no_data,201407,no_data,JB43W-9,34100 35650 35670 36255 46510 56110 69100 85101 85101 85301 85301 85301 85301
False,12719,0038,1300 シェラ9,JB43W,JB43W,580001,no_data,201407,no_data,JB43W-9,34102
False,12719,0040,1300 シェラ8,JB43W,JB43W,560001,no_data,201204,no_data,JB43W-8,33921
False,12719,0040,1300 シェラ9,JB43W,JB43W,580001,no_data,201407,no_data,JB43W-9,34100 38880
False,15131,0005,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,33920
False,15131,0005,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,33920
False,15131,0006,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,33920
False,15131,0014,GBD-DA64V,DA64V,DA64V,630001,740000,200512,200706,DA64V-2,95200 95310 95411
False,15131,0104,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,14190
False,15131,0614,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,14190 18213 20002 20002 27101 27450 33920 34100 38885 44101 44102 45910 46510 56100
False,15131,0614,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,27101 33920 44101 44102 45900 45910
False,15131,0614,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,33920
False,15131,0614,エヴリイトクソウ,DA64V,DA64V,630002,740000,200512,200706,DA64V2T,44101 44102 84701 84701 84702 84702 85105
False,15131,0614,エヴリイトクソウ,DA64V,DA64V,740002,no_data,200706,no_data,DA64V3T,14300 44101 44102 89101
False,15132,0001,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,69100 71811
False,15132,0001,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,69100
False,15132,0005,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,13110 13400 14300 17700 27450 33920 34100 35120 35320 36770 36770 37990 39101 41601 41602 43210 43250 45110 45150 45201 45202 45910 46201 46202 46510 65950 68001 68002 68501 68501 68701 68701 69100 71711 71711 71711 74100 74120 74140 74400 74430 83410 83440 85105 85180 87180 95200
False,15132,0005,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,13400 14300 33920 36770 45900 45910 46202 68501 68701 69100
False,15132,0005,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,13400 33920 36770 74100 85180 85180
False,15132,0005,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,65950 74100 74100 74100 74120 74120
False,15132,0006,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,34100 56100
False,15132,0008,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,37990 74400 84701 84702 85180 86401 86401 87180 87380
False,15132,0008,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,86401 86401
False,15132,0008,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,85180
False,15132,0013,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,17700 20002 20002 33920 34100
False,15132,0013,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,33920
False,15132,0013,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,33920
False,15132,0013,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,20002 20002
False,15132,0017,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,13110 13400 13900 13900 14120 14190 14300 15100 15110 18213 33920 34100 37990 84701 84701 84701 84702 84702 84702 89101
False,15132,0017,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,13900 14190 14300 18213 33920
False,15132,0017,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,14190 18213 18213 33920 84701 84702
False,15132,0017,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,14300
False,15132,0018,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,17700 20002 20002 33920 34100 38880
False,15132,0018,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,33920
False,15132,0018,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,20002 20002 33920
False,15132,0018,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,20002 20002
