is_scraping,car_model_designation_no,classification_no,car_name,car_model_name,youshiki,vin_start,vin_end,model_from,model_to,catalog_name,parts_code
True,10385,0208,660 ワゴン,JB23W,JB23W,100001,310000,199809,200112,JB23W,87308 86401 85301 43200 87107 85101 56100 87301 85107 87101 84704 87302 87307
True,10385,0208,660 ワゴン,JB23W,JB23W,310001,400000,200112,200409,JB23W-4,86401 74400 43200 39101 13110 58300 87101 95400 34120 15100 14111 87307 37430 87308 35502 33921 72112 84701 87107 85101 13400 48110 87302 72111 89101 36740 84571 84702 37400 35501 27101 87301 36250 85107 48150 31400 37190 84703 14190 84531 85301 85180 84536 34101 84511 13900
True,10385,0224,660 ワゴン,JB23W,JB23W,100001,310000,199809,200112,JB23W,86401 85301 85101 87301 87101 84704 87302
True,10385,0224,660 ワゴン,JB23W,JB23W,310001,400000,200112,200409,JB23W-4,87308 86401 85301 84702 87101 84701 72112 87107 85101 39101 87301 85107 48110 84704 87302 87307
True,10385,0704,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,86401 65950 43252 14111 35320 89101 36740 84704 35650 83402 35670 71721 33920 45151 58611 43210 87101 14300 14260 87308 85101 95311 83460 34100 36250 85107 31400 83420 55100 95200 38700 74400 13110 68001 15100 87107 41700 45111 13400 83401 87302 68002 17700 18213 46200 37190 84901 14190 85301 38720 83430 27102 35120 41600 24700 45200 69100 43420 33400 58300 87307 14250 31100 72112 74150 58811 74100 72111 84571 27103 48600 37400 74120 27101 87301 84703 37990 15110 95410 84511 13900
True,11405,0005,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,86401 41602 39101 35603 55311 45201 43252 95400 41601 68001 46510 55102 74150 84701 41700 71713 35320 45202 89101 45150 55101 68002 84702 45910 34100 37400 45110 84920 84703 85180 35604 35120 74430 95200 43210 48500
True,11405,0605,660キャリイ,DA63T,DA63T,100001,380000,200205,200507,DA63T-5,44102 45910 45111 44101 43420 45151
True,12634,0606,M13A:2WD,ZC11S,ZC11S,550001,no_data,200902,no_data,ZC11S-4,87380 48110
True,12717,0002,660 ワゴン,JB23W,JB23W,600001,no_data,200805,no_data,JB23W-7,86401 87101 14300 15100 14250 84701 85101 38885 13400 87380 87302 84704 17700 18213 71811 84702 34100 87301 84901 14190 85301 85180 87180 15110 33910 95200 13900 43210
True,12717,0004,660 ワゴン,JB23W,JB23W,500001,999999,200510,no_data,JB23W-6,85301 84702 85180 87180 43200 85101 39101 87301 87380 87101 72111 84704 87302
True,12717,0004,660 ワゴン,JB23W,JB23W,600001,no_data,200805,no_data,JB23W-7,86401 85301 84702 85180 87101 84701 43200 87180 85101 87301 87380 48110 84704 87302
True,12717,0010,660 ワゴン,JB23W,JB23W,730001,no_data,201407,no_data,JB23W-A,86401 74400 56110 84910 37480 87101 31100 72112 74150 84701 85101 74100 35320 87380 48110 87302 84704 18213 84571 84702 34100 87301 48150 84531 85301 85180 84536 87180 35120 34101 69100 33910 95200 84511 13900 43210
True,12719,0010,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,84510 86401 65950 43252 46510 37430 35320 48110 89101 84704 35650 35670 33920 83900 58611 55211 43210 87101 14300 14260 84701 27450 71711 38885 95311 34100 56100 14140 85180 44102 55100 95200 74400 13110 68001 15100 71718 13400 83401 68002 17700 18213 84702 49100 43810 37190 84901 14190 87180 84536 83430 27102 35120 43420 33400 58300 95400 74140 31100 58811 71713 74100 72111 71811 84571 27103 48600 37400 27101 44101 48150 71717 36255 84703 84531 37990 14120
True,15132,0061,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,65950 37480 14111 46510 35320 45202 48110 89101 58800 83402 84502 35670 84541 58511 85105 58611 68701 43210 46202 84580 14300 41601 71711 46201 83410 87380 46860 45910 34100 45110 31400 85180 84501 95411 83540 74430 68501 41602 85106 13110 55311 45201 68001 15100 55102 41700 13400 83401 45150 55101 68002 17700 18213 83440 14190 87180 38720 27102 35120 83510 69100 36770 58100 84546 74140 31100 84570 14130 74100 71811 74120 48150 84703 37990 14120 33910 84511
True,15133,0037,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,71811 87180 84702 84710 85180 84701 71711 71713 87380 84720
True,15133,0042,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,86401 39510 87180 85180 43200 87380
True,15133,0061,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,74400 41602 55311 41601 87105 87305 55102 84570 84701 71711 41700 71713 43250 87306 71714 45150 55101 35650 71811 84702 35670 45110 48150 83941 87106 87180 43210 58100
True,15133,0062,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,86401 43200 71722 71718 71711 71713 74100 35320 71714 87380 35650 71811 39510 35670 71721 71717 83900 87180 85180 35120 68701
True,15626,0073,2WD,SC25,C25,660001,680000,200712,200811,LANDY-2,84510 44111 86401 37480 37310 87105 83511 46510 37430 84730 83502 41800 35320 45202 89101 35510 84704 83501 57700 33920 45151 84515 84504 68701 43210 84910 84580 14300 41601 14260 84701 71711 88360 83410 87380 95311 55110 45910 84920 83941 31400 83420 35100 85180 44102 36780 35604 95411 34101 74430 74411 95200 68501 48500 57300 74400 41602 56110 35603 55311 83940 71100 35300 38690 45201 68001 15100 83980 45111 13400 38880 37210 88180 68002 95230 17700 18213 84702 33930 84740 55120 83440 87106 20002 14190 14110 57600 38720 84536 87180 35120 43420 36770 58100 33400 83450 87360 43402 74450 74140 31100 95310 74150 38860 43250 74100 71811 55402 44101 71741 84531 37990 55401 15110 84511 84503
True,15626,0073,2WD,SC25,C25,680001,no_data,200812,no_data,LANDY-3,84510 68001 15100 74450 83980 43250 41800 87380 48110 89101 35510 36740 55402 55110 45910 33930 74120 55120 44101 87106 84703 35100 84515 37990 55401 44102 15110 95411 68701 43420 95200 68501
True,15703,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,44111 86401 37480 43252 37310 87305 46510 37430 84730 87306 14630 41800 35320 45202 48110 89101 57711 35650 83402 35670 71721 84541 45151 85105 43210 39101 46111 87101 14300 41601 68004 84701 71711 83410 87380 45810 68003 46860 21000 34100 14140 31400 85180 44102 58260 36780 95411 83540 95200 57300 74400 41602 43200 56110 85106 13110 55311 46151 45201 68001 15100 58280 55102 83980 45111 13400 83401 38880 58600 55101 68002 17700 18213 39510 84702 84740 83440 37190 84901 14190 14110 38720 84536 35120 83510 69100 71742 43420 33400 84546 14250 31100 95310 84570 74150 43250 74100 71811 74120 44101 48150 57611 58270 71741 84531 37990 33910 84511
True,16033,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85108 86401 39101 13110 15100 87307 87308 84701 87107 13400 48110 37210 46860 84702 85302 34100 44101 85107 85301 44102 36780 69100 87108
True,16033,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,39510 85301 84702 85302 84701
True,16033,0004,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,72110 85108 86401 74400 41602 56110 39101 39970 84580 55311 84910 85106 35500 45201 41601 14300 68001 71722 87105 46510 87305 87307 87308 84730 55102 84701 87107 71711 43250 87306 35320 45202 48110 87380 45810 57711 37210 55101 68002 35650 46860 71811 39510 84702 85302 34100 35670 84740 44101 84920 48150 85107 48510 87106 57611 71741 83900 20002 85301 85180 44102 87180 36780 85105 35120 68701 69100 87108 33910 68501 43210 57300
